file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,93,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,19
style.css,94,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,95,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,4
style.css,96,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,43
style.css,97,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,15
style.css,98,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,10
style.css,99,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,24
style.css,100,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,11
style.css,101,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,102,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,103,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,3
style.css,104,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,12
style.css,105,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,22
style.css,106,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,7
style.css,107,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,17
style.css,108,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,14
style.css,109,css,f5b7afdd,Vishal Rana,2025-10-10,18:42:24,-07:00,2025-10-10T18:42:24-07:00,0,0
style.css,110,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,111,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,5
style.css,112,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,20
style.css,113,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,10
style.css,114,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,16
